trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
25,False,"{'a': 0.5, 'e': 0.7788007830714057}",20,0,-59.26024589086015,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035671}",20,0,-79.27698148188239,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.763379494336854}",25,0,-39.02260268299828,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557264}",25,0,-149.77088549205186,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785662}",20,0,-163.5530408903182,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817189}",25,0,-79.32716945034457,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242903}",35,9,-40.09675036120131,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.726149037073692}",20,0,-128.16686357613565,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319273}",20,0,-5.800410394505064,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626109}",25,0,-43.45437794520718,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187147}",25,0,-155.9220457103011,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.6976763260710324}",30,15,-42.11155801599617,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.690734330637356}",30,0,-50.080393315613584,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123573}",20,0,-105.41322497974113,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981661}",30,0,-124.10987373220998,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.6703200460356408}",25,12,-38.9464747419509,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
